rank,target_id,source_type,repo_url,stars,last_commit_utc,adoption_signal,rank_score,snapshot_ref
1,upstash/context7,github,https://github.com/upstash/context7,45989,2026-02-17T22:24:05Z,0,45989,HEAD
2,mindsdb/mindsdb,github,https://github.com/mindsdb/mindsdb,38512,2026-02-17T20:11:51Z,0,38512,HEAD
3,microsoft/playwright-mcp,github,https://github.com/microsoft/playwright-mcp,27283,2026-02-17T22:02:16Z,0,27283,HEAD
4,github/github-mcp-server,github,https://github.com/github/github-mcp-server,27021,2026-02-17T22:44:58Z,0,27021,HEAD
5,jlowin/fastmcp,github,https://github.com/jlowin/fastmcp,22897,2026-02-17T22:39:04Z,0,22897,HEAD
6,activepieces/activepieces,github,https://github.com/activepieces/activepieces,20852,2026-02-17T18:30:39Z,0,20852,HEAD
7,oraios/serena,github,https://github.com/oraios/serena,20322,2026-02-17T22:34:29Z,0,20322,HEAD
8,GLips/Figma-Context-MCP,github,https://github.com/GLips/Figma-Context-MCP,13155,2026-02-17T22:13:38Z,0,13155,HEAD
9,googleapis/genai-toolbox,github,https://github.com/googleapis/genai-toolbox,13015,2026-02-17T21:24:10Z,0,13015,HEAD
10,BeehiveInnovations/pal-mcp-server,github,https://github.com/BeehiveInnovations/pal-mcp-server,11074,2026-02-17T21:32:00Z,0,11074,HEAD
11,hangwin/mcp-chrome,github,https://github.com/hangwin/mcp-chrome,10407,2026-02-17T18:36:54Z,0,10407,HEAD
12,awslabs/mcp,github,https://github.com/awslabs/mcp,8168,2026-02-17T22:22:31Z,0,8168,HEAD
13,LaurieWired/GhidraMCP,github,https://github.com/LaurieWired/GhidraMCP,7617,2026-02-17T20:29:09Z,0,7617,HEAD
14,idosal/git-mcp,github,https://github.com/idosal/git-mcp,7595,2026-02-17T21:22:34Z,0,7595,HEAD
15,0x4m4/hexstrike-ai,github,https://github.com/0x4m4/hexstrike-ai,6890,2026-02-17T22:33:25Z,0,6890,HEAD
16,kreuzberg-dev/kreuzberg,github,https://github.com/kreuzberg-dev/kreuzberg,6034,2026-02-17T21:24:34Z,0,6034,HEAD
17,BrowserMCP/mcp,github,https://github.com/BrowserMCP/mcp,5795,2026-02-17T14:11:42Z,0,5795,HEAD
18,firecrawl/firecrawl-mcp-server,github,https://github.com/firecrawl/firecrawl-mcp-server,5516,2026-02-17T17:05:45Z,0,5516,HEAD
19,wonderwhy-er/DesktopCommanderMCP,github,https://github.com/wonderwhy-er/DesktopCommanderMCP,5473,2026-02-17T22:29:33Z,0,5473,HEAD
20,lharries/whatsapp-mcp,github,https://github.com/lharries/whatsapp-mcp,5329,2026-02-17T16:18:24Z,0,5329,HEAD
21,aipotheosis-labs/aci,github,https://github.com/aipotheosis-labs/aci,4713,2026-02-15T12:53:42Z,0,4713,HEAD
22,u14app/deep-research,github,https://github.com/u14app/deep-research,4430,2026-02-17T19:22:32Z,0,4430,HEAD
23,CursorTouch/Windows-MCP,github,https://github.com/CursorTouch/Windows-MCP,4358,2026-02-17T22:42:24Z,0,4358,HEAD
24,getsentry/XcodeBuildMCP,github,https://github.com/getsentry/XcodeBuildMCP,4329,2026-02-17T22:22:07Z,0,4329,HEAD
25,sooperset/mcp-atlassian,github,https://github.com/sooperset/mcp-atlassian,4302,2026-02-17T19:29:18Z,0,4302,HEAD
26,21st-dev/magic-mcp,github,https://github.com/21st-dev/magic-mcp,4271,2026-02-17T14:37:40Z,0,4271,HEAD
27,Pimzino/spec-workflow-mcp,github,https://github.com/Pimzino/spec-workflow-mcp,3888,2026-02-17T16:13:20Z,0,3888,HEAD
28,makenotion/notion-mcp-server,github,https://github.com/makenotion/notion-mcp-server,3887,2026-02-17T18:36:10Z,0,3887,HEAD
29,exa-labs/exa-mcp-server,github,https://github.com/exa-labs/exa-mcp-server,3811,2026-02-17T18:04:45Z,0,3811,HEAD
30,antvis/mcp-server-chart,github,https://github.com/antvis/mcp-server-chart,3677,2026-02-17T13:02:06Z,0,3677,HEAD
31,opensumi/core,github,https://github.com/opensumi/core,3598,2026-02-17T07:47:45Z,0,3598,HEAD
32,Minidoracat/mcp-feedback-enhanced,github,https://github.com/Minidoracat/mcp-feedback-enhanced,3568,2026-02-16T21:17:18Z,0,3568,HEAD
33,cloudflare/mcp-server-cloudflare,github,https://github.com/cloudflare/mcp-server-cloudflare,3418,2026-02-17T22:43:49Z,0,3418,HEAD
34,haris-musa/excel-mcp-server,github,https://github.com/haris-musa/excel-mcp-server,3339,2026-02-17T19:52:36Z,0,3339,HEAD
36,laravel/boost,github,https://github.com/laravel/boost,3257,2026-02-17T17:22:41Z,0,3257,HEAD
37,browserbase/mcp-server-browserbase,github,https://github.com/browserbase/mcp-server-browserbase,3131,2026-02-17T07:47:54Z,0,3131,HEAD
38,punkpeye/fastmcp,github,https://github.com/punkpeye/fastmcp,2943,2026-02-17T10:27:07Z,0,2943,HEAD
39,MarkusPfundstein/mcp-obsidian,github,https://github.com/MarkusPfundstein/mcp-obsidian,2856,2026-02-17T16:33:25Z,0,2856,HEAD
40,Jpisnice/shadcn-ui-mcp-server,github,https://github.com/Jpisnice/shadcn-ui-mcp-server,2651,2026-02-17T13:42:27Z,0,2651,HEAD
41,grafana/mcp-grafana,github,https://github.com/grafana/mcp-grafana,2317,2026-02-17T21:27:29Z,0,2317,HEAD
42,blazickjp/arxiv-mcp-server,github,https://github.com/blazickjp/arxiv-mcp-server,2181,2026-02-17T21:09:38Z,0,2181,HEAD
43,steipete/Peekaboo,github,https://github.com/steipete/Peekaboo,2181,2026-02-17T21:06:26Z,0,2181,HEAD
44,bytebase/dbhub,github,https://github.com/bytebase/dbhub,2128,2026-02-17T12:19:22Z,0,2128,HEAD
45,AmoyLab/Unla,github,https://github.com/AmoyLab/Unla,2035,2026-02-16T20:52:01Z,0,2035,HEAD
46,brightdata/brightdata-mcp,github,https://github.com/brightdata/brightdata-mcp,2033,2026-02-17T09:21:29Z,0,2033,HEAD
47,cyberagiinc/DevDocs,github,https://github.com/cyberagiinc/DevDocs,2027,2026-02-14T20:45:14Z,0,2027,HEAD
48,jamubc/gemini-mcp-tool,github,https://github.com/jamubc/gemini-mcp-tool,1988,2026-02-17T21:37:49Z,0,1988,HEAD
49,perplexityai/modelcontextprotocol,github,https://github.com/perplexityai/modelcontextprotocol,1956,2026-02-17T07:09:45Z,0,1956,HEAD
50,agentset-ai/agentset,github,https://github.com/agentset-ai/agentset,1861,2026-02-17T20:25:51Z,0,1861,HEAD
